Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
oxidative phosphorylation	92/126	0.00000000000567436781880735	0.0000000009986887361100936	-1.9312970516200711	40.025316312719504	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;ATP5C1;ATP5G3;ATP5G2;COX6A1;ATP5G1;COX7C;UQCRFS1;ATP6V1E1;COX8A;ATP6V0B;ATP6V1G1;ATP6V0E1;ATP6V1G2;ATP6AP1;NDUFC2;NDUFC1;SDHC;ATP5F1;SDHB;ATP5J2;COX6B1;NDUFS8;NDUFS7;PPA2;NDUFS6;PPA1;NDUFS5;ATP6V1B2;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;ATP6V0D1;ATP6V0C;ND2;ATP6V1A;NDUFB9;NDUFB8;NDUFB10;NDUFB6;UQCRB;COX15;NDUFB11;NDUFB5;NDUFB4;ATP5A1;ATP6;NDUFB3;NDUFB2;ATP5J;NDUFB1;ATP5I;COX7A2;ATP5H;ATP5O;COX5B;COX5A;UQCRH;ATP5L;ATP5B;ATP5E;ATP5D;COX3;ATP6V1H;COX1;CYC1;NDUFV3;NDUFV2;ATP6V1D;NDUFV1;ATP6V1C1;ATP6V0A1;ATP6V1F;LHPP;NDUFA9;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1
ribosome	60/71	0.0000000007071739464149551	0.00000006223130728451605	-1.8045737792300378	29.942223745708105	RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS16;RPL18A;RPL36AL;RPS18;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
pathogenic escherichia coli infection epec	30/48	0.0006521089824757092	0.019742472676166203	-1.757365348956981	6.8976291029335846	ITGB1;ROCK2;ARPC5L;WASL;ACTB;ACTG1;CDC42;TUBB8;TUBA1C;TUBA1B;TUBA3D;TUBA1A;YWHAQ;TUBB3;NCK2;FYN;TUBB;PRKCA;ARPC5;YWHAZ;RHOA;TUBA4A;TUBB2B;KRT18;TUBB2A;CTTN;NCL;CTNNB1;ARHGEF2;EZR
proteasome	20/22	0.00019680323596800862	0.011545789843456507	-1.4751206844750964	6.581154201543634	PSMD11;PSMA7;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMD6;PSMA4;PSMB5;PSMA1;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMC2;PSMD1
pathogenic escherichia coli infection ehec	30/48	0.0006521089824757092	0.019742472676166203	-1.572908678590849	6.173639809243008	ITGB1;ROCK2;ARPC5L;WASL;ACTB;ACTG1;CDC42;TUBB8;TUBA1C;TUBA1B;TUBA3D;TUBA1A;YWHAQ;TUBB3;NCK2;FYN;TUBB;PRKCA;ARPC5;YWHAZ;RHOA;TUBA4A;TUBB2B;KRT18;TUBB2A;CTTN;NCL;CTNNB1;ARHGEF2;EZR
cholera infection	27/41	0.0006730388412329387	0.019742472676166203	-1.449844790264336	5.690616140803814	ARF3;ATP6V1A;ARF4;AK1;ADCY3;ACTG1;SEC61A2;SEC61G;ATP6V1H;PLCG1;SEC61B;ATP6V1E1;ATP6V1D;ATP6V1C1;ATP6V0A1;ATP6V1F;TRIM23;ATP6V0B;ATP6V1G1;ATP6V0E1;ATP6V1G2;PRKCA;ADCY9;GNAS;ATP6V0D1;ATP6V0C;ARF5
epithelial cell signaling in helicobacter pylori infection	33/65	0.004753590211761604	0.11951883961000605	-1.4964020720373319	3.178778888625635	ATP6V1A;F11R;CDC42;MAPK9;MAPK8;PAK1;PTPRZ1;ATP6V1H;PLCG1;RAC1;ATP6V1E1;ATP6V1D;ATP6V1C1;ATP6V0A1;ATP6V1F;JAM3;MAP2K4;ATP6V0B;ATP6V1G1;JUN;ATP6V0E1;ATP6V1G2;ATP6AP1;ADAM10;PTPN11;MAPK10;NFKBIA;TJP1;MAPK11;ADAM17;ATP6V1B2;ATP6V0D1;ATP6V0C
long term potentiation	33/67	0.006723945350420274	0.13149048685266312	-1.3439102887096877	2.7265531111951926	CAMK2B;GRIA1;GRIA2;CAMK2D;CAMK2A;ADCY1;CACNA1C;PPP1CB;RAP1B;PPP1CC;PPP3CA;GRIN2A;GRM5;PPP3CB;RPS6KA2;MAPK1;CAMK2G;HRAS;PRKACB;MAPK3;CREBBP;MAP2K1;MAP2K2;PRKCA;GRIN2C;PPP1R1A;GNAQ;CALM3;KRAS;CALM1;PLCB1;CALM2;ATF4
renal cell carcinoma	33/69	0.00933301654285633	0.1642610911542714	-1.3842173285411619	2.500309127546321	FH;EPAS1;SLC2A1;PIK3R2;PIK3CB;PIK3R1;HIF1A;CRKL;CDC42;RAP1B;PAK1;AKT3;PAK7;MAPK1;PAK6;TCEB2;TCEB1;RAC1;PAK3;HRAS;PAK2;MAPK3;EGLN1;ARNT2;CREBBP;JUN;MAP2K1;MAP2K2;PTPN11;PGF;RBX1;GRB2;KRAS
regulation of actin cytoskeleton	77/201	0.012110367109796913	0.19376587375675058	-1.4544351591156284	2.386880353708041	CHRM2;CYFIP2;ITGB1;CHRM3;CYFIP1;NCKAP1;CHRM1;ARPC1A;ITGB2;ARPC5L;ITGAE;PIK3CB;WASL;FGF1;CRKL;MYLK;PPP1CB;PPP1CC;FGF9;CFL2;TMSB4X;CFL1;PIP4K2A;ITGAV;PIP4K2B;PIP4K2C;RAC1;HRAS;MAP2K1;ARHGEF12;MAP2K2;ACTN1;F2R;RHOA;TIAM1;MRAS;ARHGEF4;MYH9;ARHGEF7;EZR;PFN1;ARHGEF6;PFN2;ROCK2;PDGFA;PIK3R2;PIK3R1;CDC42;GNA13;PAK1;GNA12;PAK7;MAPK1;PAK6;PIP5K1C;PAK3;WASF1;MYH10;PAK2;WASF2;MAPK3;GSN;RDX;ARPC4;ARPC5;BAIAP2;SSH2;PTK2;FGF14;ABI2;APC;ARPC2;ARPC3;KRAS;FGF13;FGFR3;FGFR2
gap junction	39/90	0.016645843839500768	0.22368937139880846	-1.2236573585901245	1.8324231309597108	GUCY1B3;ADCY3;PDGFA;ADCY2;ADCY1;HTR2A;GNAI1;GNAI2;TUBB8;TUBA1C;GJA1;GRM5;TUBA1B;TUBA3D;TUBA1A;TUBB3;GNA11;MAPK1;HRAS;PRKACB;MAPK3;GUCY1A3;MAP3K2;GUCY1A2;MAP2K1;MAP2K2;TUBB;CSNK1D;PRKCA;TUBA4A;TJP1;TUBB2B;ADCY9;TUBB2A;GNAQ;GNAS;GRB2;KRAS;PLCB1
long term depression	32/73	0.025287972129012504	0.2571714877401377	-0.9012876354496123	1.2239595588098044	GRIA1;GRIA2;GUCY1B3;CACNA1A;PPP2R2A;GNAI1;GNAI2;GNA13;PPP2CA;PPP2CB;GRM5;PPP2R1A;GNA11;GNA12;MAPK1;HRAS;GRIA3;MAPK3;GUCY1A3;GUCY1A2;MAP2K1;PLA2G12A;PLA2G2D;MAP2K2;PRKCA;GNAO1;PPP2R2C;PPP2R2B;GNAQ;GNAS;KRAS;PLCB1
amyotrophic lateral sclerosis	14/19	0.006608799988093523	0.13149048685266312	-0.5533391610883072	1.1226259847002138	GPX1;SSR4;SLC1A2;SOD1;PPP3CA;KARS;CAT;BAX;NEFL;NEFM;RAC1;NEFH;RAB5A;BCL2L1
tight junction	51/131	0.029961264789735157	0.2571714877401377	-0.8202247770028755	1.1138752121951587	PTEN;PPP2R2A;F11R;ACTB;ACTG1;PPP2R4;PPP2R1A;AKT3;HRAS;SPTAN1;MAGI1;PRKCI;CSNK2A1;ACTN1;PRKCE;MAGI2;PRKCA;ASH1L;RHOA;CLDN11;CLDN10;MRAS;CTTN;CLDN14;CSNK2B;EXOC4;MYH9;MLLT4;PRKCZ;GNAI1;GNAI2;CDC42;PPP2CA;PPP2CB;PARD6B;EPB41L1;EPB41L2;EPB41L3;CTNNA1;CTNNA2;MPDZ;MYH10;JAM3;PPP2R3A;TJP1;PPP2R2C;VAPA;PPP2R2B;RAB13;CTNNB1;KRAS
ubiquitin mediated proteolysis	21/39	0.013838688361875419	0.20296742930750614	-0.6907858790840165	1.101602983151436	UBE2D4;FBXW11;FBXW7;CUL3;UBE2D2;UBE2E3;UBE2D3;UBE2E1;UBE2E2;WWP1;ANAPC11;RBX1;CDC16;CDC27;ANAPC4;TCEB2;ANAPC5;TCEB1;UBA1;BTRC;SKP1
axon guidance	49/126	0.03334107205133142	0.2571714877401377	-0.6244897633833064	0.8480646856877945	ITGB1;GSK3B;ROBO1;PPP3CA;PPP3CB;CFL2;DPYSL2;CFL1;NCK2;RAC1;HRAS;EPHA4;ARHGEF12;SEMA6A;UNC5A;SEMA6D;UNC5D;RHOA;RASA1;EPHA3;NGEF;NFAT5;ROCK2;SEMA3B;SEMA3E;GNAI1;GNAI2;CDC42;EFNB2;ABLIM1;PAK1;EFNB3;PAK7;MAPK1;PAK6;PLXNA1;FYN;SLIT2;SRGAP3;LRRC4C;PAK3;PAK2;MAPK3;SEMA4D;SEMA4C;L1CAM;PTK2;CDK5;KRAS
phosphatidylinositol signaling system	31/72	0.03240895028773543	0.2571714877401377	-0.5800724272381018	0.7877454035701926	CDS1;INPP1;PTEN;PIK3R2;PIK3CB;PIK3R1;PIK3C2A;INPP5A;IMPA1;PIP4K2A;PIP4K2B;PIP4K2C;PIP5K1C;PLCG1;CDIPT;ITPK1;PRKCA;SYNJ2;DGKZ;INPP4A;ITPKB;SYNJ1;DGKQ;PI4KA;CALM3;PIK3C3;PI4KB;CALM1;PLCB1;CALM2;CDS2
neurodegenerative diseases	20/38	0.01906443506239845	0.22368937139880846	-0.5252725463666833	0.7865940226350759	APP;PRNP;CREBBP;HSPA5;APLP1;PARK7;GFAP;SOD1;PINK1;UCHL1;VAPB;BAX;APBA1;GRB2;APOE;MAPT;GAPDH;NEFH;BCL2L1;SNCA
erbb signaling pathway	35/85	0.03775780655748232	0.27689058142153705	-0.556433790732015	0.7145349171808564	CAMK2B;GSK3B;CAMK2D;CDKN1B;SHC3;CAMK2A;PIK3R2;PIK3CB;PIK3R1;ELK1;CRKL;MAPK9;MAPK8;PAK1;ERBB4;AKT3;NCK2;PAK7;MAPK1;PAK6;PLCG1;PAK3;CAMK2G;HRAS;PAK2;MAPK3;MAP2K4;JUN;MAP2K1;MAP2K2;PRKCA;PTK2;MAPK10;GRB2;KRAS
aminoacyl trna biosynthesis	20/38	0.01906443506239845	0.22368937139880846	-0.3743013667887609	0.5605151455500721	CARS;YARS;DARS;MTFMT;WARS;SARS;EPRS;HARS2;NARS;KARS;QARS;LARS;MARS;RARS;GARS;HARS;IARS;VARS2;AARS;FARSB
gnrh signaling pathway	38/96	0.047031969783498315	0.33110506727582817	-0.46751581959426297	0.5167543660653237	CAMK2B;CAMK2D;CAMK2A;ADCY3;ADCY2;ADCY1;CACNA1C;ELK1;CDC42;MAPK9;MAPK8;GNA11;MAPK1;CAMK2G;HRAS;PRKACB;MAP3K4;MAPK3;MAP3K2;MAP2K4;JUN;MAP2K1;PLA2G12A;PLA2G2D;MAP2K2;PRKCA;MAPK10;MAPK11;ADCY9;GNAQ;GNAS;CALM3;GRB2;KRAS;CALM1;PLCB1;CALM2;ATF4
apoptosis	22/81	0.599285629621707	0.9999999999717443	4.754537917049604	-0.00000000013434294483480935	DFFA;PIK3R2;CFLAR;PIK3CB;PIK3R1;NFKBIA;PPP3CA;PPP3CB;PRKAR1B;CASP10;PRKAR1A;PRKAR2B;PRKAR2A;AKT3;CAPN2;BAX;CYCS;CAPN1;PRKACB;BIRC2;BCL2L1;BIRC3
cell cycle	26/104	0.7410082054136558	0.9999999999717443	5.486279609603206	-0.00000000015501884132593684	YWHAE;GSK3B;CDKN1B;CCNH;YWHAB;ANAPC11;CCND3;CCND2;CCND1;YWHAQ;CDC27;BUB3;YWHAG;SKP1;YWHAH;CDKN2D;SMAD2;CREBBP;YWHAZ;CDC25B;RBX1;TFDP1;CDC16;MDM2;ANAPC4;ANAPC5
small cell lung cancer	21/85	0.7419167033277702	0.9999999999717443	5.650981283510195	-0.00000000015967260753369857	ITGB1;PIAS4;CDKN1B;MAX;PTEN;PIK3R2;PIK3CB;PIK3R1;PIAS2;PTK2;PIAS1;NFKBIA;RXRB;RXRA;CCND1;AKT3;CYCS;ITGAV;BIRC2;BCL2L1;BIRC3
